price,neighbourhood_cleansed,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities_Kitchen,amenities_Wifi,amenities_Smoke alarm,amenities_Essentials,amenities_Hot water,amenities_Hair dryer,amenities_Dishes and silverware,amenities_Hangers,amenities_Cooking basics,amenities_Bed linens,amenities_Iron,amenities_Refrigerator,amenities_Heating,amenities_Microwave,amenities_TV
$70.00,Bordeaux Sud,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1
$85.00,France Alouette,Entire rental unit,Entire home/apt,5,1.0,2.0,4.0,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1
,Talence,Entire rental unit,Entire home/apt,2,,1.0,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
$65.00,Chartrons - Grand Parc - Jardin Public,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,0
$91.00,Nansouty - Saint Gens,Entire rental unit,Entire home/apt,5,1.0,1.0,4.0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0
$65.00,Nansouty - Saint Gens,Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,1,1,1,0,1,0,1,1,1,1,0,1,1,1,1
$176.00,Centre ville (Bordeaux),Entire rental unit,Entire home/apt,5,1.0,2.0,3.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
$185.00,Caudran,Private room in bed and breakfast,Private room,5,2.0,3.0,3.0,1,1,1,0,1,1,1,1,0,1,0,1,1,0,1
$110.00,Villenave-d'Ornon,Entire rental unit,Entire home/apt,4,1.0,2.0,3.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
$110.00,Nansouty - Saint Gens,Entire home,Entire home/apt,3,1.0,2.0,2.0,1,1,1,0,0,1,1,0,0,1,1,1,0,1,1
$100.00,La Bastide,Entire rental unit,Entire home/apt,3,1.0,1.0,1.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
$45.00,Villenave-d'Ornon,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,1,0,0,0,1,1,1,1,1,1,0,1,0,1,0
$62.00,Bgles,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,0
,Nansouty - Saint Gens,Private room in rental unit,Private room,2,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
$75.00,Plaisance-Loret-Maregue,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,1,1,1,0,1,1,0,1,0,1,1,1,0,0,0
$94.00,Bordeaux Sud,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
$79.00,France Alouette,Entire home,Entire home/apt,5,1.0,2.0,3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Centre ville (Bordeaux),Entire rental unit,Entire home/apt,2,,1.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
$76.00,Centre ville (Bordeaux),Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1
$52.00,Le Bourg,Entire guest suite,Entire home/apt,1,1.0,0.0,1.0,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1
$45.00,La Bastide,Private room in rental unit,Private room,2,1.0,1.0,1.0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
$204.00,Talence,Entire home,Entire home/apt,4,1.0,2.0,3.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
$143.00,Bordeaux Sud,Entire rental unit,Entire home/apt,4,1.0,2.0,0.0,0,1,1,1,1,0,1,1,0,1,0,1,0,1,0
$81.00,Centre ville (Bordeaux),Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0
$139.00,Centre ville (Bordeaux),Entire rental unit,Entire home/apt,4,1.0,1.0,0.0,1,1,1,0,1,0,1,1,0,1,0,1,0,1,1
$420.00,Caudran,Entire villa,Entire home/apt,8,2.0,5.0,5.0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0
$130.00,La Bastide,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1
$213.00,La Bastide,Entire home,Entire home/apt,6,2.0,3.0,4.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Le Bouscat,Entire home,Entire home/apt,6,,3.0,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
$110.00,Centre ville (Bordeaux),Entire home,Entire home/apt,4,1.0,2.0,2.0,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1
$287.00,Le Bouscat,Entire home,Entire home/apt,6,2.0,4.0,3.0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0
$700.00,Caudran,Entire home,Entire home/apt,7,6.0,5.0,5.0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1
,Centre ville (Bordeaux),Entire rental unit,Entire home/apt,4,,1.0,,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0
$160.00,Centre ville (Bordeaux),Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
,Saint Augustin - Tauzin - Alphonse Dupeux,Entire rental unit,Entire home/apt,2,,1.0,,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1
$119.00,Centre ville (Bordeaux),Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
$61.00,Gradignan,Entire guesthouse,Entire home/apt,2,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
$102.00,Centre ville (Bordeaux),Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,1,1,1,0,1,1,1,1,0,1,1,1,0,1,1
$35.00,Le Haillan,Private room in rental unit,Private room,2,1.0,0.0,1.0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1
$65.00,Beaudsert,Room in hotel,Private room,2,1.0,1.0,2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Caudran,Private room in rental unit,Private room,1,,,,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
$82.00,Bordeaux Sud,Entire rental unit,Entire home/apt,2,1.0,2.0,0.0,1,0,1,1,1,1,1,0,1,1,1,1,0,0,0
$30.00,Bordeaux Maritime,Private room in bed and breakfast,Private room,1,1.0,1.0,1.0,1,1,1,0,1,0,1,1,0,1,1,1,1,1,1
,Talence,Entire home,Entire home/apt,8,,3.0,,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1
,Arlac,Entire townhouse,Entire home/apt,7,,3.0,,1,1,1,0,1,1,1,0,1,0,1,1,0,1,1
,Chartrons - Grand Parc - Jardin Public,Entire rental unit,Entire home/apt,2,,1.0,,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
$51.00,Talence,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1
$47.00,Bgles,Entire home,Entire home/apt,2,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
$148.00,La Bastide,Entire rental unit,Entire home/apt,4,2.0,2.0,2.0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1
$140.00,Chartrons - Grand Parc - Jardin Public,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
$45.00,Caudran,Entire rental unit,Entire home/apt,1,1.0,1.0,1.0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0
$141.00,Le Bouscat,Entire home,Entire home/apt,6,1.5,3.0,3.0,1,1,1,0,1,1,1,0,0,1,0,1,0,1,1
$46.00,Centre ville (Bordeaux),Private room in rental unit,Private room,2,1.0,1.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
$300.00,Caudran,Entire home,Entire home/apt,7,3.0,5.0,5.0,1,1,1,1,0,1,0,1,0,0,1,0,1,0,1
$46.00,Le Burck,Private room in home,Private room,2,1.0,1.0,2.0,1,1,1,0,1,1,1,0,1,1,1,0,1,1,1
$58.00,Bouliac,Entire home,Entire home/apt,3,1.0,1.0,1.0,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1
$85.00,Centre ville (Bordeaux),Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
$75.00,Lormont,Entire rental unit,Entire home/apt,3,1.0,2.0,2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
$160.00,Bordeaux Maritime,Entire rental unit,Entire home/apt,7,2.0,3.0,3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
$180.00,Chartrons - Grand Parc - Jardin Public,Entire home,Entire home/apt,4,1.0,2.0,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
,Bgles,Entire home,Entire home/apt,5,,3.0,,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
,Bordeaux Sud,Entire rental unit,Entire home/apt,2,,1.0,,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
$120.00,Centre ville (Bordeaux),Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,1
$70.00,Martignas-sur-Jalle,Entire home,Entire home/apt,4,1.0,1.0,1.0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0
,Palmer-Gravires-Cavailles,Private room in rental unit,Private room,2,,,,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
$80.00,Bruges,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0
$95.00,Talence,Entire home,Entire home/apt,6,1.0,3.0,3.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
$111.00,Centre ville (Bordeaux),Entire rental unit,Entire home/apt,5,1.0,2.0,3.0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
$120.00,Le Vallon-Les Echoppes,Private room in home,Private room,6,2.5,3.0,4.0,1,1,1,0,0,1,0,1,0,1,1,0,1,0,1
$153.00,Centre ville (Bordeaux),Entire rental unit,Entire home/apt,6,1.0,2.0,3.0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
$280.00,Arlac,Entire home,Entire home/apt,8,2.0,4.0,5.0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1
$109.00,La Bastide,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
$70.00,Lormont,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1
$65.00,Parempuyre,Entire rental unit,Entire home/apt,4,1.0,1.0,1.0,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1
$170.00,Martignas-sur-Jalle,Entire home,Entire home/apt,8,2.0,3.0,4.0,1,1,1,0,1,1,1,1,1,0,1,1,0,1,1
$80.00,Nansouty - Saint Gens,Private room in rental unit,Private room,4,1.0,1.0,1.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
$150.00,La Bastide,Entire rental unit,Entire home/apt,6,1.0,2.0,2.0,1,1,1,1,1,1,0,1,1,1,0,0,0,1,1
$108.00,Bordeaux Sud,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1
$100.00,Saint Augustin - Tauzin - Alphonse Dupeux,Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
$120.00,Saint Augustin - Tauzin - Alphonse Dupeux,Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
$69.00,Saint Augustin - Tauzin - Alphonse Dupeux,Entire rental unit,Entire home/apt,2,1.0,,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
,Le Bouscat,Entire townhouse,Entire home/apt,8,,4.0,,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1
,Centre ville (Bordeaux),Entire rental unit,Entire home/apt,3,,1.0,,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1
$60.00,Saint-Mdard-en-Jalles,Entire rental unit,Entire home/apt,4,1.0,1.0,3.0,1,1,0,1,1,1,1,1,1,1,1,0,1,1,1
$69.00,Bordeaux Maritime,autre,Entire home/apt,2,1.0,1.0,1.0,1,0,1,0,1,0,1,0,1,1,0,1,1,0,0
$80.00,Bourran,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
$220.00,La Bastide,Entire home,Entire home/apt,4,2.0,2.0,2.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
$59.00,Centre ville (Merignac),Private room in guest suite,Private room,2,1.0,1.0,1.0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,1
$90.00,Caudran,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,1,1,1,0,1,1,1,1,1,1,1,1,0,1,1
,Eysines,Entire home,Entire home/apt,6,,4.0,,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1
$85.00,Centre ville (Bordeaux),Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
$106.00,Le Bouscat,Entire townhouse,Entire home/apt,4,1.0,2.0,0.0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1
,Talence,Entire rental unit,Entire home/apt,3,,2.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
,Chemin Long,Entire home,Entire home/apt,6,,3.0,,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
$180.00,Chartrons - Grand Parc - Jardin Public,Entire townhouse,Entire home/apt,6,2.0,3.0,4.0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
$61.00,Villenave-d'Ornon,Entire rental unit,Entire home/apt,4,1.0,1.0,2.0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0
,Brivazac-Candau,Entire home,Entire home/apt,6,1.0,1.0,4.0,1,1,1,0,1,1,1,0,1,0,1,1,0,0,1
$200.00,Nansouty - Saint Gens,Entire home,Entire home/apt,6,2.0,3.0,3.0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
,Villenave-d'Ornon,Entire home,Entire home/apt,2,,1.0,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
$62.00,Bordeaux Sud,Entire rental unit,Entire home/apt,2,1.0,0.0,1.0,1,1,0,1,1,0,0,1,0,1,0,0,0,0,1
$58.00,Floirac,Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1
$69.00,Le Bouscat,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
$119.00,Le Taillan-Mdoc,Entire home,Entire home/apt,6,2.0,3.0,3.0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1
$70.00,Palmer-Gravires-Cavailles,Entire rental unit,Entire home/apt,5,1.0,3.0,3.0,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1
$206.00,Eysines,Entire home,Entire home/apt,5,1.0,3.0,2.0,1,1,1,0,0,1,0,1,0,1,1,0,0,0,1
$62.00,Centre ville (Bordeaux),Entire rental unit,Entire home/apt,2,1.0,1.0,1.0,1,1,0,1,1,1,1,1,1,1,0,1,1,0,0
$199.00,Parempuyre,Entire home,Entire home/apt,8,2.0,4.0,6.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
$36.00,Bordeaux Sud,Entire condo,Entire home/apt,2,1.0,1.0,1.0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,1
$132.00,Chartrons - Grand Parc - Jardin Public,Entire rental unit,Entire home/apt,4,1.0,2.0,2.0,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1
$60.00,Chemin Long,Entire townhouse,Entire home/apt,2,1.0,1.0,1.0,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1
$41.00,Sardine,Entire home,Entire home/apt,3,1.0,0.0,0.0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0
$37.00,La Bastide,Private room in bed and breakfast,Private room,2,1.0,1.0,1.0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1
$30.00,La Bastide,Private room in bed and breakfast,Private room,2,1.0,1.0,1.0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1
,La Bastide,Private room in bed and breakfast,Private room,2,,1.0,,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1
$32.00,La Bastide,Private room in bed and breakfast,Private room,2,1.0,1.0,1.0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1
$30.00,La Bastide,Private room in bed and breakfast,Private room,2,1.0,1.0,1.0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1
$32.00,La Bastide,Private room in bed and breakfast,Private room,2,1.0,1.0,1.0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1
,La Bastide,Private room in bed and breakfast,Private room,2,,1.0,,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1
$30.00,La Bastide,Private room in bed and breakfast,Private room,2,1.0,1.0,1.0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1
$35.00,La Bastide,Private room in bed and breakfast,Private room,2,1.0,2.0,2.0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1
$24.00,La Bastide,Private room in bed and breakfast,Private room,2,1.0,1.0,1.0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1
,La Bastide,Private room in bed and breakfast,Private room,2,,1.0,,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1
$37.00,La Bastide,Private room in bed and breakfast,Private room,2,1.0,1.0,1.0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1
